Date/Time,Cooling:Electricity [J](Hourly),Heating:NaturalGas [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 10/30  14:00:00,78841716.17840783,0.0,15807040.873338813,121807565.71264665,37551168.90078655,5987799.176932977,262366262.06848216,262366262.06848305,89557454.40652707 
 10/30  15:00:00,74662528.02181791,0.0,19796486.53312959,126829660.61016576,37136232.32581122,5987799.176932977,266839598.5131664,266839598.5131673,138563200.75648028 
 10/30  16:00:00,69654650.91392633,0.0,29105192.44588942,161629800.20024115,34977939.09246544,5987799.176932977,304121807.39405113,304121807.39405215,126144179.66125624 
 10/30  17:00:00,55779706.00575756,0.0,35592787.787870474,204884491.0712216,30175675.16247882,5987799.176932977,342630320.4643662,342630320.4643652,196345813.3508635 
 10/30  18:00:00,44322302.06245316,0.0,44901493.93566237,204645835.6122203,26426787.837799653,5987799.176932977,356628454.5825354,356628454.5825326,205129430.70628196 
 10/30  19:00:00,36510769.708767086,0.0,51550569.72193773,185571734.18467608,24036976.81534607,5987799.176932977,333598036.9102855,333598036.91028655,199653061.310759 
 10/30  20:00:00,33107413.013340116,0.0,51550569.72193773,178875607.65465096,22989485.641027957,5987799.176932977,322243661.0812843,322243661.0812852,190216060.87136477 
 10/30  21:00:00,26545437.03500612,0.0,38252418.149386905,164823601.124626,21063098.71940784,5987799.176932977,286175692.7072924,286175692.7072934,164621133.4488383 
 10/30  22:00:00,15042384.838734113,0.0,24954266.576836366,134031278.26953766,17778598.340505328,5987799.176932977,226684399.25317425,226684399.25317526,141025941.42462704 
 10/30  23:00:00,8272400.809834529,0.0,15645560.66407668,104912987.04695597,15972021.706451867,5987799.176932977,179524978.9400236,179524978.9400245,55018357.75231714 
 10/30  24:00:00,4407679.951370436,0.0,11656115.239317864,79472635.82437395,15071416.358925723,5987799.176932977,145528521.46564624,145528521.46564722,29404584.0 
 10/31  01:00:00,2766989.1004955503,0.0,11656115.239317864,72776509.29434878,14682701.74492278,5987799.176932977,136864091.21820474,136864091.21820572,29404584.0 
 10/31  02:00:00,1355866.8585353317,0.0,11656115.239317864,69428446.02933633,14584677.69809276,5987799.176932977,132974154.39975037,132974154.39975137,29404584.0 
 10/31  03:00:00,335897.8086890845,0.0,11656115.239317864,67754414.39683005,14851270.209670532,5987799.176932977,132519380.83854097,132519380.83854195,29404584.0 
 10/31  04:00:00,143173.56209314163,0.0,16975375.727318894,71432354.39683005,15324663.963409867,5987799.176932977,143785769.61286202,143785769.612863,29404584.0 
 10/31  05:00:00,149910.48990539968,0.0,26284081.875110786,87158392.55936149,15511331.104866454,5987799.176932977,169774584.78553158,169774584.78553256,29404584.0 
 10/31  06:00:00,639969.570404933,0.0,27613896.938352972,120284500.51693058,15020478.779231038,5987799.176932977,202129987.81791347,202129987.8179144,193287524.1492718 
 10/31  07:00:00,2105341.3967900006,0.0,26284081.875110786,146293383.9335011,14825525.49225568,5987799.176932977,205956815.11026537,205956815.1102663,265228942.90647924 
 10/31  08:00:00,4681475.709164111,0.0,18466671.234855436,149227177.34515285,15350519.17424771,5987799.176932977,196944602.96024597,196944602.96024707,228154540.76571763 
 10/31  09:00:00,5549130.90281252,0.0,15807040.873338813,139867388.97765952,15340011.885671953,5987799.176932977,184907017.2211923,184907017.2211933,218479574.66237912 
 10/31  10:00:00,3912080.5230411105,0.0,15807040.873338813,128503692.2426721,14927277.55354593,5987799.176932977,171593161.32726783,171593161.32726878,181840585.60154882 
 10/31  11:00:00,2455151.8213243573,0.0,15807040.873338813,130177723.87517832,14543283.236252477,5987799.176932977,171419767.9397111,171419767.93971208,173288525.43284404 
 10/31  12:00:00,2405059.8903746232,0.0,15590730.651414875,128385990.86668785,13546736.491596859,5987799.176932977,168371973.63247606,168371973.632477,130517356.1273897 
 10/31  13:00:00,3248312.8624705765,0.0,15807040.873338813,123481597.34515285,14638197.027870208,5987799.176932977,165086688.38865286,165086688.38865384,121648688.02204493 
 10/31  14:00:00,2430502.86238089,0.0,15807040.873338813,121807565.71264665,13449209.417470548,5987799.176932977,161422303.92683426,161422303.92683518,109647439.68187676 
 10/31  15:00:00,752844.949587004,0.0,19796486.53312959,126829660.61016576,14359300.338302894,5987799.176932977,171059943.11551616,171059943.11551708,111313206.37295513 
 10/31  16:00:00,1270280.1830779193,0.0,29105192.44588942,161629800.20024115,14462261.216005169,5987799.176932977,216102525.41839507,216102525.418396,141782863.46148106 
 10/31  17:00:00,3794648.3687636037,0.0,35592787.787870474,204884491.0712216,14836338.014937349,5987799.176932977,275285048.65898174,275285048.6589827,179815541.18876463 
 10/31  18:00:00,5056801.739262967,0.0,44901493.93566237,204645835.6122203,15142928.981699372,5987799.176932977,306097155.2938528,306097155.29385376,219740933.59253478 
 10/31  19:00:00,2143503.7000731044,0.0,51550569.72193773,185571734.18467608,14848729.241296202,5987799.176932977,291887992.35982066,291887992.3598217,204013189.17339033 
 10/31  20:00:00,96760.2705843288,0.0,51550569.72193773,178875607.65465096,16160317.064740442,5987799.176932977,291181044.5455958,291181044.5455968,193618753.45895553 
 10/31  21:00:00,0.0,0.0,38252418.149386905,164823601.124626,17282426.627687868,5987799.176932977,268782221.08374953,268782221.0837505,144480983.66951033 
 10/31  22:00:00,0.0,11665827.145271683,24954266.576836366,134031278.26953766,18498987.90759091,5987799.176932977,229434920.70962965,229434920.70963067,152750769.97765827 
 10/31  23:00:00,0.0,70856536.53124394,15645560.66407668,104912987.04695597,19992788.66140995,5987799.176932977,197223314.25863332,197223314.2586343,151571150.67499986 
 10/31  24:00:00,0.0,84268268.6293831,11656115.239317864,79472635.82437395,21355654.434873044,5987799.176932977,173637317.52764505,173637317.52764612,113672852.62938312 
 11/01  01:00:00,0.0,92861967.22861266,11656115.239317864,72776509.29434878,22211864.545119606,5987799.176932977,170724304.14158243,170724304.1415834,122266551.22861266 
 11/01  02:00:00,0.0,97153192.97480008,11656115.239317864,69428446.02933633,22632813.675879687,5987799.176932977,169222922.59006467,169222922.59006563,126557776.97480008 
 11/01  03:00:00,0.0,98622704.4408584,11656115.239317864,67754414.39683005,22775427.08521863,5987799.176932977,168190040.90290013,168190040.90290114,128027288.4408584 
 11/01  04:00:00,0.0,96758590.4718821,16975375.727318894,71432354.39683005,22586092.19212959,5987799.176932977,176378473.1205749,176378473.12057588,126163174.4718821 
 11/01  05:00:00,0.0,93525986.82376477,26284081.875110786,87158392.55936149,22267030.352724835,5987799.176932977,200110757.35256672,200110757.35256773,122930570.82376477 
 11/01  06:00:00,0.0,86063197.82045206,27613896.938352972,120284500.51693058,21500382.4157194,5987799.176932977,231375185.32279992,231375185.32280093,279776139.85264087 
 11/01  07:00:00,0.0,89400519.81296948,26284081.875110786,146293383.9335011,21856170.402081408,5987799.176932977,244420201.1160158,244420201.11601678,335357410.5608164 
 11/01  08:00:00,0.0,101987160.42598826,18466671.234855436,149227177.34515285,23127571.239851117,5987799.176932977,231727271.48686713,231727271.48686808,349494880.1399642 
 11/01  09:00:00,0.0,111721569.3767983,15807040.873338813,139867388.97765952,24076028.830640905,5987799.176932977,224146392.88668868,224146392.88668966,330256535.1695473 
 11/01  10:00:00,0.0,116568248.39464265,15807040.873338813,128503692.2426721,24606418.145158906,5987799.176932977,215254592.39033473,215254592.39033574,298484512.0297302 
 11/01  11:00:00,0.0,117933927.98794805,15807040.873338813,130177723.87517832,24724907.117254935,5987799.176932977,217566095.5189714,217566095.51897243,264567829.41984862 
 11/01  12:00:00,0.0,114970472.28241733,15590730.651414875,128385990.86668785,23433976.308479343,5987799.176932977,213291704.96939874,213291704.96939975,254128554.61895013 
 11/01  13:00:00,0.0,147116504.18008864,15807040.873338813,123481597.34515285,27727734.236461986,5987799.176932977,224043313.4119688,224043313.41196972,278270314.6318541 
 11/01  14:00:00,0.0,171918933.15796408,15807040.873338813,121807565.71264665,29102957.470440976,5987799.176932977,231665674.5559137,231665674.5559146,262225051.4949747 
 11/01  15:00:00,0.0,180827684.27570662,19796486.53312959,126829660.61016576,30956491.62336585,5987799.176932977,245582696.7353982,245582696.7353992,319463623.3409365 
 11/01  16:00:00,0.0,159231957.14118388,29105192.44588942,161629800.20024115,28791957.71776463,5987799.176932977,280709235.16730404,280709235.1673051,294123031.4871015 
 11/01  17:00:00,0.0,129929801.83100635,35592787.787870474,204884491.0712216,25913965.9408646,5987799.176932977,325374228.08607745,325374228.0860782,317211961.98896587 
 11/01  18:00:00,0.0,97462416.8855558,44901493.93566237,204645835.6122203,22594134.187679157,5987799.176932977,339928993.87781835,339928993.8778168,315291607.2972599 
 11/01  19:00:00,0.0,93843326.47106731,51550569.72193773,185571734.18467608,22328904.548169278,5987799.176932977,325951303.5063609,325951303.5063619,281482185.7576325 
 11/01  20:00:00,0.0,79168565.99837065,51550569.72193773,178875607.65465096,20757501.061427243,5987799.176932977,311945434.4542786,311945434.45427966,288987199.7246318 
 11/01  21:00:00,0.0,69337732.23815846,38252418.149386905,164823601.124626,19794948.473151393,5987799.176932977,279988104.492449,279988104.4924499,215678870.78698242 
 11/01  22:00:00,0.0,81385547.68497533,24954266.576836366,134031278.26953766,21028804.475922234,5987799.176932977,241002149.77501136,241002149.77501237,222505368.06043616 
 11/01  23:00:00,0.0,95779622.48895687,15645560.66407668,104912987.04695597,22485448.948792353,5987799.176932977,208793678.67434886,208793678.67434987,151077026.56337285 
 11/01  24:00:00,0.0,115336700.99467674,11656115.239317864,79472635.82437395,24490223.661845516,5987799.176932977,188481167.96816707,188481167.96816808,168522051.84403825 
 11/02  01:00:00,0.0,140275832.90746918,11656115.239317864,72776509.29434878,26995499.61737241,5987799.176932977,192933941.8227379,192933941.8227389,169680416.90746918 
 11/02  02:00:00,0.0,140642344.59550366,11656115.239317864,69428446.02933633,26940326.388985224,5987799.176932977,189427209.32818574,189427209.32818675,170046928.59550366 
 11/02  03:00:00,0.0,152492740.05308336,11656115.239317864,67754414.39683005,28217131.76206224,5987799.176932977,193420448.58689624,193420448.58689722,181897324.05308336 
 11/02  04:00:00,0.0,147492102.05932286,16975375.727318894,71432354.39683005,27613384.307024807,5987799.176932977,199829719.60698825,199829719.6069893,176896686.05932286 
 11/02  05:00:00,0.0,127533279.40182848,26284081.875110786,87158392.55936149,25674357.579106852,5987799.176932977,216290387.92593944,216290387.9259404,156937863.40182847 
 11/02  06:00:00,0.0,127553255.58559054,27613896.938352972,120284500.51693058,25713928.797282238,5987799.176932977,251000230.16124156,251000230.1612425,321392441.3926077 
 11/02  07:00:00,0.0,115526438.39027071,26284081.875110786,146293383.9335011,24426260.734569643,5987799.176932977,256670203.2432127,256670203.24321374,354970437.0676664 
