Date/Time,Cooling:Electricity [J](Hourly),Heating:NaturalGas [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,0.0,254300092.4437831,11656115.239317864,79472635.82437395,37410903.661290735,5987799.176932977,244662807.51568696,244662807.51568797,283704676.4437831 
 01/01  02:00:00,0.0,205986732.5415212,11656115.239317864,72776509.29434878,33106276.137355864,5987799.176932977,219930496.06635174,219930496.06635284,235391316.5415212 
 01/01  03:00:00,0.0,214078892.05022758,11656115.239317864,69428446.02933633,33857872.2868603,5987799.176932977,219919917.1654511,219919917.16545212,243483476.05022758 
 01/01  04:00:00,0.0,219990134.0751221,11656115.239317864,67754414.39683005,34406793.42897412,5987799.176932977,220750640.5277999,220750640.52780098,249394718.0751221 
 01/01  05:00:00,0.0,217459989.9254808,16975375.727318894,71432354.39683005,34170579.64133404,5987799.176932977,228793370.670378,228793370.67037895,246864573.9254808 
 01/01  06:00:00,0.0,199428957.90275997,26284081.875110786,87158392.55936149,32518780.81040333,5987799.176932977,246822402.48044178,246822402.48044276,228833541.90275997 
 01/01  07:00:00,0.0,169092230.572872,27613896.938352972,120284500.51693058,29624058.518535018,5987799.176932977,268792840.7184458,268792840.7184469,404937891.9765506 
 01/01  08:00:00,0.0,166426433.61004016,26284081.875110786,146054728.47449982,29402235.53304614,5987799.176932977,272320934.1735379,272320934.17353886,444816791.77240485 
 01/01  09:00:00,0.0,154869178.40255117,16975375.727318894,147728760.107006,28143293.457682364,5987799.176932977,252448458.27421936,252448458.27422035,428321198.30471885 
 01/01  10:00:00,0.0,103567503.10392478,14315745.365802372,138368971.73951268,22998103.463515606,5987799.176932977,217178647.11959788,217178647.11959895,330123606.33800495 
 01/01  11:00:00,0.0,70252623.6935148,14315745.365802372,127005275.00452524,19703109.04767592,5987799.176932977,190921584.92255008,190921584.92255104,289482242.9230819 
 01/01  12:00:00,0.0,67351902.82948554,14315745.365802372,128679306.63703147,19476724.272309057,5987799.176932977,191574009.5172782,191574009.51727915,244695396.0425706 
 01/01  13:00:00,0.0,76108651.27508593,14315745.365802372,127005275.00452524,20352746.394555405,5987799.176932977,193783657.4976799,193783657.49768087,219809686.69976413 
 01/01  14:00:00,0.0,85235183.79675868,14315745.365802372,121983180.10700601,21263440.916259848,5987799.176932977,192715589.52313876,192715589.52313974,226146455.23562798 
 01/01  15:00:00,0.0,85887196.14739552,14315745.365802372,120309148.4744998,21306259.409047015,5987799.176932977,191251418.37508228,191251418.37508327,196881937.30910677 
 01/01  16:00:00,0.0,84420739.20371966,18305191.025593143,125331243.3720189,21170655.251589015,5987799.176932977,199805969.8213692,199805969.82137018,225240472.9502502 
 01/01  17:00:00,0.0,89847617.75555484,27613896.938352972,160131382.9620943,21762800.843008988,5987799.176932977,260634476.37419653,260634476.37419754,234375918.14370197 
 01/01  18:00:00,0.0,111447230.6811328,35592787.787870474,204645835.6122203,24009838.972989533,5987799.176932977,337582503.55463314,337582503.55463403,327815591.51844066 
 01/01  19:00:00,0.0,136278588.87752774,44901493.93566237,204645835.6122203,26426902.104545247,5987799.176932977,357669769.0262639,357669769.02626115,364480526.5181211 
 01/01  20:00:00,0.0,150466114.39380613,51550569.72193773,185571734.18467608,27830159.382168256,5987799.176932977,351098038.6884081,351098038.688409,375093950.83096313 
 01/01  21:00:00,0.0,127020559.42710224,51550569.72193773,178875607.65465096,25413047.03541763,5987799.176932977,333597296.53135765,333597296.53135854,345396653.6855735 
 01/01  22:00:00,0.0,122459335.6610361,38252418.149386905,164823601.124626,25054600.17327441,5987799.176932977,304464375.2437517,304464375.2437529,299783357.10968393 
 01/01  23:00:00,0.0,162951946.1000753,24954266.576836366,134031278.26953766,29126351.573834043,5987799.176932977,277900091.788799,277900091.7888,306695090.72566795 
 01/01  24:00:00,0.0,245233016.38746443,15645560.66407668,104912987.04695597,36892255.29680802,5987799.176932977,272074980.36312866,272074980.36312956,326720945.7178575 
 01/02  01:00:00,0.0,304127518.5717255,11656115.239317864,79472635.82437395,42151859.823057145,5987799.176932977,264378082.69924077,264378082.69924167,333532102.5717255 
 01/02  02:00:00,0.0,302167357.2315192,11656115.239317864,72776509.29434878,41936107.54261755,5987799.176932977,256978720.05170906,256978720.05170992,331571941.2315192 
 01/02  03:00:00,0.0,296745168.1514207,11656115.239317864,69428446.02933633,41481282.90381227,5987799.176932977,251891077.16343495,251891077.1634359,326149752.1514207 
 01/02  04:00:00,0.0,307266772.8795986,11656115.239317864,67754414.39683005,42466662.05338746,5987799.176932977,254273695.55412465,254273695.55412552,336671356.8795986 
 01/02  05:00:00,0.0,267116523.07042873,16975375.727318894,71432354.39683005,38680600.994780995,5987799.176932977,247878683.08553654,247878683.08553746,296521107.0704287 
 01/02  06:00:00,0.0,224416533.02994993,26284081.875110786,87158392.55936149,34861324.53704582,5987799.176932977,256986240.8489918,256986240.84899268,253821117.02994993 
 01/02  07:00:00,0.0,192365424.40311337,27613896.938352972,120284500.51693058,31885313.234099396,5987799.176932977,278739598.9363253,278739598.9363264,428057569.0583201 
 01/02  08:00:00,0.0,147960704.44928354,26284081.875110786,146054728.47449982,27512210.70564317,5987799.176932977,264100609.5108491,264100609.5108502,426450678.1619424 
 01/02  09:00:00,0.0,124942222.02107877,16975375.727318894,147728760.107006,25265165.475387793,5987799.176932977,239786265.34411544,239786265.3441165,398580399.9059782 
 01/02  10:00:00,0.0,83316224.8139981,14315745.365802372,138368971.73951268,21010869.04925557,5987799.176932977,208286575.3139774,208286575.31397834,322832943.4595412 
 01/02  11:00:00,0.0,50501439.456771515,14315745.365802372,127005275.00452524,17980755.59106247,5987799.176932977,183025443.61700886,183025443.61700982,257574776.59455246 
 01/02  12:00:00,0.0,27141908.921766445,14315745.365802372,128679306.63703147,16299153.131032612,5987799.176932977,176872253.17393655,176872253.17393756,204645736.58132887 
 01/02  13:00:00,364647.67359562666,5220107.904190336,14315745.365802372,127005275.00452524,15672525.366364585,5987799.176932977,172137416.95544124,172137416.9554422,158709981.6936395 
 01/02  14:00:00,200461.7382757038,0.0,14315745.365802372,121983180.10700601,15138668.106444418,5987799.176932977,164531658.9759068,164531658.97590768,131504484.66177511 
 01/02  15:00:00,367743.646731602,0.0,14315745.365802372,120309148.4744998,14890708.78498319,5987799.176932977,161636162.66177577,161636162.66177672,111074460.7586335 
 01/02  16:00:00,86766.39944565759,0.0,18305191.025593143,125331243.3720189,15196911.109380668,5987799.176932977,172293441.14986444,172293441.1498654,140858778.39618453 
 01/02  17:00:00,0.0,0.0,27613896.938352972,160131382.9620943,15554007.042454524,5987799.176932977,231937312.79869366,231937312.7986946,162981368.5705067 
 01/02  18:00:00,0.0,16208944.384915888,35592787.787870474,204645835.6122203,15608372.159798987,5987799.176932977,298946271.22796816,298946271.22796905,212722912.0576234 
 01/02  19:00:00,0.0,29738679.434558496,44901493.93566237,204645835.6122203,16535618.122859934,5987799.176932977,312557363.90704554,312557363.9070464,286492897.594916 
 01/02  20:00:00,0.0,49240331.319173895,51550569.72193773,185571734.18467608,17954885.17790533,5987799.176932977,306416626.30202127,306416626.30202234,278456556.9540961 
 01/02  21:00:00,0.0,74107923.14856252,51550569.72193773,178875607.65465096,20230406.58775889,5987799.176932977,310045677.45357925,310045677.4535803,292192072.608706 
 01/02  22:00:00,0.0,73148483.74512386,38252418.149386905,164823601.124626,20064399.18009068,5987799.176932977,281797174.95973575,281797174.95973676,228613285.78031823 
 01/02  23:00:00,0.0,56948849.20735359,24954266.576836366,134031278.26953766,18562075.150407195,5987799.176932977,230405945.66337705,230405945.66337803,222169025.0655027 
 01/02  24:00:00,0.0,83093651.0683285,15645560.66407668,104912987.04695597,21192621.290235296,5987799.176932977,203674659.34390628,203674659.3439073,164428695.91691267 
 01/03  01:00:00,0.0,126825213.67427191,11656115.239317864,79472635.82437395,25550263.62521676,5987799.176932977,193806469.0151834,193806469.01518443,156229797.6742719 
 01/03  02:00:00,0.0,156209011.1841741,11656115.239317864,72776509.29434878,28469705.338338003,5987799.176932977,199919223.8481405,199919223.8481416,185613595.1841741 
 01/03  03:00:00,0.0,173495038.09546086,11656115.239317864,69428446.02933633,30138371.18453042,5987799.176932977,203757922.04052716,203757922.04052824,202899622.09546086 
 01/03  04:00:00,0.0,189028319.88124496,11656115.239317864,67754414.39683005,31646420.69355044,5987799.176932977,208563173.54578635,208563173.54578733,218432903.88124496 
 01/03  05:00:00,0.0,204503672.26072967,16975375.727318894,71432354.39683005,33071790.27515699,5987799.176932977,223740731.25137925,223740731.25138032,233908256.26072967 
 01/03  06:00:00,0.0,207625415.13200253,26284081.875110786,87158392.55936149,33355894.51278481,5987799.176932977,250094408.35215515,250094408.35215622,237029999.13200253 
 01/03  07:00:00,0.0,176490059.33576754,27613896.938352972,120284500.51693058,30358590.480708696,5987799.176932977,271845356.32634056,271845356.32634175,412276039.07950324 
 01/03  08:00:00,0.0,163151771.61720952,26284081.875110786,146293383.9335011,28926876.51363468,5987799.176932977,270927321.69466746,270927321.6946685,441830025.27188736 
 01/03  09:00:00,0.0,128234625.14841732,18466671.234855436,149227177.34515285,25183645.086349286,5987799.176932977,243349825.96701303,243349825.9670141,402016416.05590564 
 01/03  10:00:00,0.0,81243959.58819467,15807040.873338813,139867388.97765952,20518834.928647526,5987799.176932977,210230763.17380387,210230763.17380482,308029726.44073236 
 01/03  11:00:00,0.0,37408339.045584,15807040.873338813,128503692.2426721,16871534.585656796,5987799.176932977,181304708.09933862,181304708.09933966,256846333.84354895 
 01/03  12:00:00,190246.91202562503,46989316.75904266,15807040.873338813,130177723.87517832,17962391.384097267,5987799.176932977,187755971.91725627,187755971.91725737,224419815.45071483 
 01/03  13:00:00,290128.5538614714,70060027.01652616,15590730.651414875,128385990.86668785,18990343.65077925,5987799.176932977,193698950.45045,193698950.45045096,213868349.31399083 
 01/03  14:00:00,60369.12196018516,86270449.8391383,15807040.873338813,123481597.34515285,21377738.22417501,5987799.176932977,196373444.83170545,196373444.8317064,227243057.66786933 
 01/03  15:00:00,0.0,86649898.56159523,15807040.873338813,121807565.71264665,20398293.92726887,5987799.176932977,193550600.1331442,193550600.13314515,197741292.17437464 
 01/03  16:00:00,0.0,93303480.89863151,19796486.53312959,126829660.61016576,21945448.18544954,5987799.176932977,206695614.79580826,206695614.79580927,234179875.89108366 
 01/03  17:00:00,0.0,105091963.09252185,29105192.44588942,161629800.20024115,23056201.01359884,5987799.176932977,270014362.20428765,270014362.2042886,249743379.89020395 
 01/03  18:00:00,0.0,89773746.05760959,35592787.787870474,204884491.0712216,21713672.98183076,5987799.176932977,327295968.3118613,327295968.3118622,306098607.4219285 
 01/03  19:00:00,0.0,69473738.92436409,44901493.93566237,204645835.6122203,19643853.7689546,5987799.176932977,326990014.7753863,326990014.775386,297801283.1891528 
 01/03  20:00:00,0.0,59208237.11379392,51550569.72193773,185571734.18467608,18658249.370024525,5987799.176932977,309700795.18658334,309700795.18658423,311062225.77082413 
 01/03  21:00:00,0.0,74362600.39115931,51550569.72193773,178875607.65465096,20234504.228745494,5987799.176932977,310029228.91485524,310029228.9148562,267481717.93525013 
 01/03  22:00:00,0.0,100123242.58831437,38252418.149386905,164823601.124626,22797918.76808527,5987799.176932977,293951063.5180017,293951063.51800257,276907689.0919551 
 01/03  23:00:00,0.0,133323160.68218228,24954266.576836366,134031278.26953766,26084805.246385384,5987799.176932977,263932531.8718691,263932531.87187004,297916020.1044245 
 01/03  24:00:00,0.0,165485931.00567365,15645560.66407668,104912987.04695597,29274473.359679982,5987799.176932977,239370633.91217735,239370633.91217837,254032955.74312365 
 01/04  01:00:00,0.0,171962681.5893314,11656115.239317864,79472635.82437395,29875652.58071885,5987799.176932977,212416382.53338915,212416382.5333901,201367265.5893314 
 01/04  02:00:00,0.0,174758949.0538001,11656115.239317864,72776509.29434878,30190705.24345646,5987799.176932977,207062419.49169445,207062419.49169546,204163533.0538001 
 01/04  03:00:00,0.0,215268814.13724935,11656115.239317864,69428446.02933633,34049088.30039503,5987799.176932977,220031694.54663864,220031694.54663962,244673398.13724935 
 01/04  04:00:00,0.0,260706275.27648956,11656115.239317864,67754414.39683005,38190702.8850273,5987799.176932977,235743282.5006905,235743282.50069147,290110859.27648956 
 01/04  05:00:00,0.0,258616952.64544702,16975375.727318894,71432354.39683005,37914412.871925525,5987799.176932977,243829376.64047313,243829376.64047405,288021536.645447 
 01/04  06:00:00,0.0,237520282.21267325,26284081.875110786,87158392.55936149,36024661.20980929,5987799.176932977,261090028.2192685,261090028.21926954,266924866.21267325 
 01/04  07:00:00,0.0,189841757.267414,27613896.938352972,120284500.51693058,31545433.48753602,5987799.176932977,276781924.05447745,276781924.0544785,425857208.9586829 
 01/04  08:00:00,0.0,152426219.6477308,26284081.875110786,146293383.9335011,27681718.475246042,5987799.176932977,265550266.61706185,265550266.61706287,431284219.2407395 
 01/04  09:00:00,0.0,138032220.16331437,18466671.234855436,149227177.34515285,26040952.857052136,5987799.176932977,247363944.60191536,247363944.6019164,411953952.9043069 
 01/04  10:00:00,0.0,121378304.7258524,15807040.873338813,139867388.97765952,24396975.09448512,5987799.176932977,228315417.23140556,228315417.2314066,348235546.2412567 
 01/04  11:00:00,0.0,101193571.23936555,15807040.873338813,128503692.2426721,22528768.462143034,5987799.176932977,208354922.12445518,208354922.12445623,320706091.8491242 
 01/04  12:00:00,0.0,67457649.62427443,15807040.873338813,130177723.87517832,19210231.518133823,5987799.176932977,194483624.36771938,194483624.3677203,244937130.67842433 
 01/04  13:00:00,0.0,63624600.56242107,15590730.651414875,128385990.86668785,18152880.059715457,5987799.176932977,190232189.78937063,190232189.78937164,207452790.91626146 
 01/04  14:00:00,0.0,62383240.04001573,15807040.873338813,123481597.34515285,18855658.56947492,5987799.176932977,185744250.74394247,185744250.74394348,203380131.2933988 
 01/04  15:00:00,0.0,45787997.76039764,15807040.873338813,121807565.71264665,16703667.548569955,5987799.176932977,177038404.4374879,177038404.43748885,156882109.30659747 
 01/04  16:00:00,0.0,59698243.70302893,19796486.53312959,126829660.61016576,18817540.84645468,5987799.176932977,192845567.63926095,192845567.63926202,200599808.21919495 
 01/04  17:00:00,0.0,40625407.729158424,29105192.44588942,161629800.20024115,17143035.03784131,5987799.176932977,242964643.06812102,242964643.06812197,185300691.14960814 
 01/04  18:00:00,0.0,20642777.543459974,35592787.787870474,204884491.0712216,15894208.111908186,5987799.176932977,300517003.0547491,300517003.05475,237044837.5378965 
 01/04  19:00:00,0.0,28576598.77685209,44901493.93566237,204645835.6122203,16475677.358946519,5987799.176932977,312310571.03551596,312310571.0355166,257018614.54082736 
 01/04  20:00:00,0.0,26536012.471639536,51550569.72193773,185571734.18467608,16301794.077414209,5987799.176932977,298735822.9386142,298735822.9386152,275919177.0033709 
 01/04  21:00:00,0.0,37095223.47606038,51550569.72193773,178875607.65465096,17129310.536536433,5987799.176932977,295756242.97191405,295756242.9719151,231987121.81309155 
 01/04  22:00:00,0.0,48123604.7471434,38252418.149386905,164823601.124626,17913757.59010098,5987799.176932977,271949782.1178393,271949782.1178402,225707340.57015473 
 01/04  23:00:00,0.0,63062264.366858914,24954266.576836366,134031278.26953766,19146112.164995737,5987799.176932977,233147048.9908296,233147048.9908306,227340938.6557794 
 01/04  24:00:00,0.0,79700761.26277754,15645560.66407668,104912987.04695597,20837635.96395604,5987799.176932977,202345565.84741414,202345565.84741503,168575180.50747216 
 01/05  01:00:00,0.0,104211118.9525713,11656115.239317864,79472635.82437395,23360283.09255101,5987799.176932977,184272779.53978476,184272779.5397858,133615702.9525713 
 01/05  02:00:00,0.0,100621169.00450134,11656115.239317864,72776509.29434878,22894202.61212033,5987799.176932977,175420042.14965364,175420042.14965463,130025753.00450134 
 01/05  03:00:00,0.0,88524775.5635402,11656115.239317864,69428446.02933633,21725850.218837347,5987799.176932977,166748483.97114348,166748483.9711445,117929359.5635402 
 01/05  04:00:00,0.0,91183942.5327937,11656115.239317864,67754414.39683005,22004079.94445622,5987799.176932977,166344865.19787467,166344865.1978756,120588526.5327937 
 01/05  05:00:00,0.0,85293034.23318309,16975375.727318894,71432354.39683005,21380182.019045334,5987799.176932977,172478332.57150307,172478332.57150412,114697618.23318309 
 01/05  06:00:00,0.0,76525826.03653263,26284081.875110786,87158392.55936149,20506819.99488864,5987799.176932977,193494530.38665226,193494530.38665318,105930410.03653263 
 01/05  07:00:00,0.0,81569283.12321061,27613896.938352972,120284500.51693058,21056498.245464675,5987799.176932977,230577344.92059603,230577344.92059702,317680259.59227717 
 01/05  08:00:00,0.0,38688352.690908335,26284081.875110786,146293383.9335011,17243308.937276047,5987799.176932977,217383728.46981558,217383728.46981657,317699452.5292149 
 01/05  09:00:00,0.0,15354414.775640298,18466671.234855436,149227177.34515285,15492355.906108199,5987799.176932977,197531495.15044692,197531495.1504479,289424146.4444316 
 01/05  10:00:00,0.0,9865958.293066807,15807040.873338813,139867388.97765952,15082695.533861278,5987799.176932977,183557423.98793656,183557423.98793757,236825687.92869958 
 01/05  11:00:00,1652600.9127465778,0.0,15807040.873338813,128503692.2426721,15162634.223685177,5987799.176932977,172329924.58027667,172329924.58027765,219597051.59881443 
 01/05  12:00:00,12257132.824972074,0.0,15807040.873338813,130177723.87517832,17548242.081380945,5987799.176932977,185367321.84061277,185367321.84061372,177524272.4785891 
 01/05  13:00:00,22306223.436049353,0.0,15590730.651414875,128385990.86668785,19049724.127817564,5987799.176932977,193762136.60187286,193762136.60187382,143866379.87022802 
 01/05  14:00:00,26850464.24199532,0.0,15807040.873338813,123481597.34515285,21298896.152630053,5987799.176932977,195654422.6692952,195654422.66929618,141024053.08178437 
 01/05  15:00:00,18393779.286509447,0.0,15807040.873338813,121807565.71264665,17858066.85580297,5987799.176932977,182164834.82299474,182164834.82299578,111123342.57103825 
 01/05  16:00:00,10670269.072014691,0.0,19796486.53312959,126829660.61016576,16709396.682421569,5987799.176932977,182481773.63031217,182481773.6303131,140927892.80915853 
 01/05  17:00:00,2486262.530647494,0.0,29105192.44588942,161629800.20024115,14940174.44775201,5987799.176932977,232128323.80849266,232128323.80849367,144719364.26224497 
 01/05  18:00:00,1050745.7996778875,0.0,35592787.787870474,204884491.0712216,14789999.999231838,5987799.176932977,295368414.92745566,295368414.9274566,216473056.2455668 
 01/05  19:00:00,581623.6499510247,0.0,44901493.93566237,204645835.6122203,14836729.472242193,5987799.176932977,304687827.6358044,304687827.63580537,232581526.3291058 
 01/05  20:00:00,0.0,0.0,51550569.72193773,185571734.18467608,15360701.30217485,5987799.176932977,294445703.87208974,294445703.87209064,253604962.89017653 
 01/05  21:00:00,0.0,0.0,51550569.72193773,178875607.65465096,16209310.132056993,5987799.176932977,291598838.3407855,291598838.3407864,196163019.27818593 
 01/05  22:00:00,0.0,0.0,38252418.149386905,164823601.124626,16395119.653377164,5987799.176932977,264862177.26066566,264862177.2606667,169061259.8685727 
 01/05  23:00:00,0.0,0.0,24954266.576836366,134031278.26953766,16499008.663472977,5987799.176932977,220666631.58436674,220666631.58436772,172484030.38111398 
 01/05  24:00:00,0.0,48201088.41336515,15645560.66407668,104912987.04695597,18577626.173962202,5987799.176932977,191501384.95412523,191501384.95412615,129592699.19564494 
 01/06  01:00:00,0.0,77136881.0174633,11656115.239317864,79472635.82437395,20515756.0976422,5987799.176932977,170682004.5899926,170682004.58999366,106541465.0174633 
 01/06  02:00:00,0.0,83549832.66968481,11656115.239317864,72776509.29434878,21145806.321061343,5987799.176932977,166839937.50579044,166839937.5057915,112954416.66968481 
 01/06  03:00:00,0.0,82309634.77292413,11656115.239317864,69428446.02933633,21028040.748231605,5987799.176932977,162986262.95489594,162986262.9548969,111714218.77292413 
 01/06  04:00:00,0.0,93959290.30404538,11656115.239317864,67754414.39683005,22244609.764827564,5987799.176932977,166828355.10427666,166828355.10427767,123363874.30404538 
 01/06  05:00:00,0.0,91937998.25279084,16975375.727318894,71432354.39683005,21990328.62047365,5987799.176932977,174730096.20222858,174730096.20222962,121342582.25279084 
 01/06  06:00:00,0.0,91996082.50589974,26284081.875110786,87158392.55936149,22046863.26867757,5987799.176932977,200052008.64325324,200052008.6432542,121400666.50589974 
 01/06  07:00:00,0.0,95186557.1610507,27613896.938352972,120284500.51693058,22348095.61769333,5987799.176932977,235975137.00139245,235975137.00139344,331317978.7805181 
 01/06  08:00:00,0.0,100361106.2630037,26284081.875110786,146293383.9335011,22857023.460977934,5987799.176932977,242939370.41255695,242939370.4125579,379511503.6421411 
 01/06  09:00:00,0.0,87279258.25572325,18466671.234855436,149227177.34515285,21479706.665704034,5987799.176932977,225167632.39606982,225167632.39607084,361489509.01494867 
 01/06  10:00:00,0.0,65994780.964793056,15807040.873338813,139867388.97765952,19332783.69077559,5987799.176932977,203371622.53845146,203371622.53845245,293070401.8864027 
 01/06  11:00:00,4682579.205920637,11456968.29589934,15807040.873338813,128503692.2426721,18821236.380482744,5987799.176932977,189326184.2731672,189326184.27316812,231136683.51275557 
 01/06  12:00:00,13484062.201720115,0.0,15807040.873338813,130177723.87517832,21130713.392758228,5987799.176932977,202990577.0066753,202990577.0066762,177572794.78533012 
 01/06  13:00:00,13313394.622114755,0.0,15590730.651414875,128385990.86668785,22081013.69988226,5987799.176932977,209332163.87207472,209332163.87207574,143910913.6261325 
 01/06  14:00:00,12870971.540118352,0.0,15807040.873338813,123481597.34515285,23479124.360932734,5987799.176932977,207472186.40077358,207472186.4007746,141052092.16828838 
 01/06  15:00:00,10024866.287714561,0.0,15807040.873338813,121807565.71264665,21893797.367315765,5987799.176932977,202135649.08032072,202135649.08032167,111131218.1200808 
 01/06  16:00:00,4690489.571387006,0.0,19796486.53312959,126829660.61016576,21612377.669833627,5987799.176932977,206210439.76942354,206210439.76942465,140954624.1605786 
 01/06  17:00:00,277141.3509596485,0.0,29105192.44588942,161629800.20024115,21907917.716872405,5987799.176932977,264615970.54648972,264615970.5464908,144770437.27209067 
 01/06  18:00:00,0.0,81949080.89440991,35592787.787870474,204884491.0712216,21117745.192586653,5987799.176932977,324454114.66547143,324454114.6654723,298494959.16892815 
 01/06  19:00:00,0.0,69755543.53748326,44901493.93566237,204645835.6122203,19718531.606587287,5987799.176932977,327235491.0574859,327235491.05748546,314811785.4721117 
 01/06  20:00:00,0.0,83034784.88569558,51550569.72193773,185571734.18467608,21101060.735522673,5987799.176932977,320594907.5448745,320594907.54487556,324545388.27298725 
 01/06  21:00:00,0.0,72654963.69819479,51550569.72193773,178875607.65465096,19954418.407266345,5987799.176932977,308571432.63735896,308571432.6373599,283934820.0927791 
 01/06  22:00:00,0.0,76852614.61343923,38252418.149386905,164823601.124626,20471992.16611011,5987799.176932977,283414644.6165166,283414644.61651754,235890921.0793013 
 01/06  23:00:00,0.0,95008146.16487104,24954266.576836366,134031278.26953766,22241778.605285242,5987799.176932977,246751507.55353516,246751507.55353618,263552072.62795424 
 01/06  24:00:00,0.0,127324909.93846646,15645560.66407668,104912987.04695597,25539301.984549843,5987799.176932977,222619011.96307832,222619011.96307933,208682518.39031002 
 01/07  01:00:00,0.0,171552399.579602,11656115.239317864,79472635.82437395,29915108.634088535,5987799.176932977,212034857.20202756,212034857.20202857,200956983.579602 
 01/07  02:00:00,0.0,170341134.01425868,11656115.239317864,72776509.29434878,29710775.243107647,5987799.176932977,204599188.95889974,204599188.95890075,199745718.01425868 
 01/07  03:00:00,0.0,188821844.27222857,11656115.239317864,69428446.02933633,31593140.75530209,5987799.176932977,209298936.65150344,209298936.65150443,218226428.27222857 
 01/07  04:00:00,0.0,190293282.0486037,11656115.239317864,67754414.39683005,31640547.748810384,5987799.176932977,207946702.07249412,207946702.07249516,219697866.0486037 
 01/07  05:00:00,0.0,163736023.72257853,16975375.727318894,71432354.39683005,29092428.660685755,5987799.176932977,206132299.05242333,206132299.05242443,193140607.72257853 
 01/07  06:00:00,0.0,193196836.46724972,26284081.875110786,87158392.55936149,32047804.899919398,5987799.176932977,243730765.83163667,243730765.83163756,222601420.46724972 
 01/07  07:00:00,0.0,200275726.81081238,27613896.938352972,120284500.51693058,32595489.11017252,5987799.176932977,280720056.58630884,280720056.5863099,436518821.96008116 
 01/07  08:00:00,0.0,162306862.03421697,26284081.875110786,146054728.47449982,28922782.48081434,5987799.176932977,269712029.07844865,269712029.07844955,441578294.07422745 
 01/07  09:00:00,0.0,144966250.30905452,16975375.727318894,147728760.107006,27279759.914260246,5987799.176932977,248467825.07510024,248467825.07510132,419313331.5916766 
 01/07  10:00:00,0.0,109941909.78687991,14315745.365802372,138368971.73951268,23731167.745454203,5987799.176932977,220759111.72257033,220759111.72257134,337154646.4873598 
 01/07  11:00:00,0.0,78992642.07736108,14315745.365802372,127005275.00452524,20671649.797649886,5987799.176932977,195490144.1639181,195490144.16391912,298755953.422389 
 01/07  12:00:00,0.0,68507319.95289849,14315745.365802372,128679306.63703147,19631313.76454585,5987799.176932977,192424703.91697562,192424703.9169765,246156700.17687392 
 01/07  13:00:00,0.0,62387978.440791674,14315745.365802372,127005275.00452524,19022111.085521948,5987799.176932977,187926038.99705246,187926038.99705344,206348142.03638947 
 01/07  14:00:00,0.0,63257504.35896471,14315745.365802372,121983180.10700601,19127710.28407317,5987799.176932977,183312931.53613913,183312931.53614014,204338220.78717145 
 01/07  15:00:00,0.0,72877573.75540061,14315745.365802372,120309148.4744998,20123386.083120808,5987799.176932977,186219391.84994233,186219391.84994337,184036946.38395578 
 01/07  16:00:00,0.0,73365683.41449536,18305191.025593143,125331243.3720189,20142972.616516635,5987799.176932977,195410930.06903207,195410930.0690331,214351374.01013058 
 01/07  17:00:00,0.0,70685586.63719535,27613896.938352972,160131382.9620943,19892382.817826837,5987799.176932977,252204897.32365504,252204897.32365608,236925323.07381478 
 01/07  18:00:00,0.0,55919202.52454624,35592787.787870474,204645835.6122203,18466582.356764805,5987799.176932977,312342886.7886946,312342886.7886957,249450330.11360276 
 01/07  19:00:00,0.0,42719786.57149163,44901493.93566237,204645835.6122203,17512267.562419787,5987799.176932977,317192566.18380564,317192566.18380606,304660062.5279336 
 01/07  20:00:00,0.0,52035818.80037788,51550569.72193773,185571734.18467608,18229611.459214747,5987799.176932977,307743061.16356826,307743061.1635692,277182681.7948322 
 01/07  21:00:00,0.0,75552998.17165524,51550569.72193773,178875607.65465096,20440673.416096788,5987799.176932977,311102598.60812175,311102598.6081228,294352947.36103046 
 01/07  22:00:00,0.0,91690361.75715524,38252418.149386905,164823601.124626,22036194.257897064,5987799.176932977,290893338.9123118,290893338.91231275,269316838.4081081 
 01/07  23:00:00,0.0,114867079.20757735,24954266.576836366,134031278.26953766,24398955.78551545,5987799.176932977,257115304.13651878,257115304.13651988,258738091.29475737 
 01/07  24:00:00,0.0,119993482.03955369,15645560.66407668,104912987.04695597,24867625.06375272,5987799.176932977,220575271.38403565,220575271.38403666,201283556.9319107 
 01/08  01:00:00,0.0,128489146.7382527,11656115.239317864,79472635.82437395,25761283.216704253,5987799.176932977,194922077.93226025,194922077.9322613,157893730.7382527 
 01/08  02:00:00,0.0,144882425.96652567,11656115.239317864,72776509.29434878,27379430.075706314,5987799.176932977,195351271.8974146,195351271.8974156,174287009.96652567 
 01/08  03:00:00,0.0,169364123.9276316,11656115.239317864,69428446.02933633,29812772.08291147,5987799.176932977,202655974.3521477,202655974.35214877,198768707.9276316 
 01/08  04:00:00,0.0,243367881.04341137,11656115.239317864,67754414.39683005,36814676.05117877,5987799.176932977,230910865.8126884,230910865.81268936,272772465.0434114 
 01/08  05:00:00,0.0,281721760.45120037,16975375.727318894,71432354.39683005,40168077.00559003,5987799.176932977,253944192.1298154,253944192.12981632,311126344.45120037 
